"word_txt","word_tr","phrase_txt","phrase_tr","prev_word_txt","prev_word_tr","next_word_txt","next_word_tr","poss_type","pronominal","ablative","poss_rel"
"ngäma","1.excl.nsg.poss","Ngäna Llimoll me ttongo bin di mällaem eran malla ttongo be komlla bin di ngäma mällaem yaran ada","I hold one responsibility (postion) in Limol .Not one rather two positions","di","acc","mällaem","hold-IV.pl","ngäma","yes","no",NA
"ngämo","1.sg.poss","Ngämo mabun a era käza dan","My totem is crocodile.","ada","like this,","mabun","clan","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngäna ngämo ma me eka allan Ende eka walle de","In my home, I speak in Ende language.","ngäna","1.sg.nom","ma","house","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo baba bo bin a Jerry ainen","My father's name is Jerry.","de","acc,","baba","father","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo baba bo bin a Jerry ainen","My father's name is Jerry.","baba","father","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Obo eka da ada dan Ende eka da Tame eka da a Motu eka da","He speaks Ende, Tame and Motu.","ainen","cop.who.prs.sgS,","eka","speak","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo yae bo bin a Maki ainen","Yes, we do communicate in Ende.","allan","aux.prs.1|3sgS,","yae","mother","ngämo","yes","no",NA
"bo","3.sg.poss","Ngämo yae bo bin a Maki ainen","Yes, we do communicate in Ende.","yae","mother","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Obo eka da Ende eka dan","Her language is Ende.","ainen","cop.who.prs.sgS,","eka","speak","obo","yes","no",NA
"obo","3.sg.poss","Obo mabun a inpiak dan","Her totem is Eagle.","dan","cop.prs.sgS,","mabun","clan","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo masamasar a ngämo ngämo pate eka gognegnän Ende eka walle de","My grand-parents communicated with me in Ende language.","allan","aux.prs.1|3sgS,","masamasar","ancestors","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo masamasar a ngämo ngämo pate eka gognegnän Ende eka walle de","My grand-parents communicated with me in Ende language.","","","","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngäna ngämo mosemosen a ngämo mänyamänyan a oba peyang eka tameny allan Ende eka walle de","I communicate with my elders and younger ones in Ende language.","ngäna","1.sg.nom","mosemosen","elder siblings","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngäna ngämo mosemosen a ngämo mänyamänyan a oba peyang eka tameny allan Ende eka walle de","I communicate with my elders and younger ones in Ende language.","a","nom","mänyamänyan","younger siblings","ngämo","yes","no","kinship"
"ngäma","1.excl.nsg.poss","be da ngäma lla da ge ada ngäma ttängämang lla da bogon ede ngäna mäzi Ende eka walle de eka bäntameny","If there are our from Ende (Limol & Malam), I will communicate with them in Ende.","da","nom","lla","man","ngäma","yes","no","kinship"
"ngäma","1.excl.nsg.poss","be da ngäma lla da ge ada ngäma ttängämang lla da bogon ede ngäna mäzi Ende eka walle de eka bäntameny","If there are our from Ende (Limol & Malam), I will communicate with them in Ende.","","","ttängämang","village-att","ngäma","yes","no",NA
"ngämo","1.sg.poss","Ngämo mälla da daden","I have a wife.","bäntameny","converse.fut.1sgA>3sgP,","mälla","woman","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo mälla bo bin a Kristina","My wife's name is Christina.","daden","cop.exist.prs.sgS,","mälla","woman","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo mälla bo bin a Kristina","My wife's name is Christina.","mälla","woman","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Obo mabun a bunkuttang dan","Her totem is catfish","kristina","female personal name,","mabun","clan","obo","yes","no",NA
"obo","3.sg.poss","Obo eka da ada Ingglis eka da Pizin eka da Ende eka da oke Agäb eka de ddob de mäzi bamllaemnegän a ddob ddone","She can speak English, Pidgin and Ende. She will understand only few words in Agob.","dan","cop.prs.sgS,","eka","speak","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo llɨg a daden","I have a child.","da","nom,","llɨg","boy","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngäna ngämo llɨg aba pate eka allan Ende eka walle a Ingglis eka walle","I communicate with my children in Ende and English.","ngäna","1.sg.nom","llɨg","boy","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo kokok a ddone dag","I don't have grand children.","walle","ins,","kokok","grandchildren","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Oke ede ngämo yon yunu mi ngäna ada ingoll allan eka tameny allan be nga ge ada Motu eka walle nga ngäna ddone eka tameny allan ngäna","Sometimes when I have dreams and we talk in Ende language and other times in English if there is a different person (not Ende).","ede","so","yon","dream","ngämo","yes","no",NA
"ngämo","1.sg.poss","Inggoemeny me ngämo mokowang eka da ge ada da ngäna gänya Ende llaeyaba kämall bagirne ede ngäna Ende eka walle eka bogne","When joking, I love to joke in Ende language with Ende people.","","","mokowang","love-att","ngämo","yes","no",NA
"llaeyaba","person=3.nsg.poss","Inggoemeny me ngämo mokowang eka da ge ada da ngäna gänya Ende llaeyaba kämall bagirne ede ngäna Ende eka walle eka bogne","When joking, I love to joke in Ende language with Ende people.","ende","language name","kämall","with","aba","yes","no",NA
"llaeyaba","person=3.nsg.poss","Ge da ge ddob llaeyaba kämall ede ngäna Ingglis eka walle de eka bogne buinggoemenyne","But when with different people(not Ende), we make jokes in English.","ddob","other","kämall","with","aba","yes","no",NA
"oba","3.nsg.poss","Ddob lla da kollokolloe panypeny erallo ge ada da ddob ttängäm atta da bognegän ede ubi däbe oba eka peyang kolloe erallo Ende eka de","And it's some people speak mixed language when there are people from other places.And they are the ones that speak mixed language.","däbe","that.nom","eka","speak","oba","yes","no",NA
"ngämo","1.sg.poss","Ngäna däbe ngämo ngonongg a dibaolle ade ge ami ddone Ende eka de panypeny erallo","I also think about those that do not speak Ende or mix Ende language.","däbe","that.nom","ngonongg","remember","ngämo","yes","no",NA
"oba","3.nsg.poss","ede ngaskäma a malla ngasekäma be ada mullae dan ada ubi ade ge eka de bängnameyo Ende eka de mermerae adawatta oba däbemae bäpanyeyo","So true or maybe not, but too they must understand Ende language properly so they can speak it there.","adawatta","because","däbemae","that-acc=rest","oba","yes","no",NA
"obo","3.sg.poss","Da obo llɨg di ge eka kollokolloe bägayaebeyo ada Ende eka da wa ge ge ada medäda we mägda erowattäm dan","If the children speak mix language, it's hard to identify wether the parents are Ende or not.","da","if","llɨg","boy","obo","yes","no","kinship"
"medäda","father=cl.poss.kin","Da obo llɨg di ge eka kollokolloe bägayaebeyo ada Ende eka da wa ge ge ada medäda we mägda erowattäm dan","If the children speak mix language, it's hard to identify wether the parents are Ende or not.","ada","like this","we","all","da","no",NA,NA
"mägda","mother=cl.poss.kin","Da obo llɨg di ge eka kollokolloe bägayaebeyo ada Ende eka da wa ge ge ada medäda we mägda erowattäm dan","If the children speak mix language, it's hard to identify wether the parents are Ende or not.","we","all","erowattäm","where=ABL","da","no",NA,NA
"ngämo","1.sg.poss","Ede ngämo ngänam a ada ingoll dan","And that's the way I see or predict.","ede","so","ngänam","understanding","ngämo","yes","no",NA
"ngäma","1.excl.nsg.poss","Eka da ngäma mokowang gänyan ge Ende eka da adawatta ngämi däbe any gozae","We love our Ende language because we that were born,we speak Ende.","da","nom","mokowang","love-att","ngäma","yes","no",NA
"ngäma","1.excl.nsg.poss","Däbe eka da ngäma panypeny ma ulle da däban",NA,"da","nom","panypeny","speak","ngäma","yes","no",NA
"ngämo","1.sg.poss","Oke sisri ngämo llɨg a ere eka e mäzi mokowang bägagän a ngäna sisri ge täräp de ikop eran ada ngämo llɨg a mäzi Ingglis eka de mokowang bägagän","Okay, nowadays I wonder which language my children would prefer, I think they would love English.","sisri","now","llɨg","boy","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Oke sisri ngämo llɨg a ere eka e mäzi mokowang bägagän a ngäna sisri ge täräp de ikop eran ada ngämo llɨg a mäzi Ingglis eka de mokowang bägagän","Okay, nowadays I wonder which language my children would prefer, I think they would love English.","","","llɨg","boy","ngämo","yes","no","kinship"
"oba","3.nsg.poss","Oke be ge ada oba panynen e gänyme alla ingollang bazärnän nag da ba peyang o mäzi Ende eka walle de eka bognegnän","Okay, but how would they communicate when they are with their friends, would they speak Ende.","ada","like this","panynen","speak","oba","yes","no",NA
"da","cl.poss.kin","Oke be ge ada oba panynen e gänyme alla ingollang bazärnän nag da ba peyang o mäzi Ende eka walle de eka bognegnän","Okay, but how would they communicate when they are with their friends, would they speak Ende.","nag","friend","ba","3.nsg.poss","da","no",NA,"kinship"
"ngämo","1.sg.poss","Ede ngämo ngonongg ada ngäna ada ingoll ngänäm eran ada llɨg kälekäle llɨg a ngäma sisri erag ede mäzi Ingglis eka walle de ka eka bognegnän",NA,"ede","so","ngonongg","remember","ngämo","yes","no",NA
"ngäma","1.excl.nsg.poss","Ede ngämo ngonongg ada ngäna ada ingoll ngänäm eran ada llɨg kälekäle llɨg a ngäma sisri erag ede mäzi Ingglis eka walle de ka eka bognegnän",NA,"a","nom","sisri","now","ngäma","yes","no",NA
"ngämo","1.sg.poss","Ngämo bin a Christina ainen","My name is Christina.","bognegnän","aux.fut.dur.3plS,","bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämlle ttongo bin a ddone dan a be ngämo nickname dan","I don't have any other names, but I have a nickname.","be","but","nickname","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo nickname a Krɨgilo","My nickname is Krɨgilo.","dan","cop.prs.sgS,","nickname","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo nagnag a","My friends.","krɨgilo",",","nagnag","friends","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo nagnag a wa ge ama umllang da däbe ngämo nickname a nikbin a ge da","My friends and those that know my nickname.","a","nom,","nagnag","friends","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo nagnag a wa ge ama umllang da däbe ngämo nickname a nikbin a ge da","My friends and those that know my nickname.","däbe","that.nom","nickname","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Oke ngänäm era ngämo pope a damändän ngänäm gänyo datramän Llimoll me a Malläm me","Ok, my uncle adopted me and brought me to Limol, sorry to Malam.","era","foc","pope","uncle","ngämo","yes","no","kinship"
"ngäma","1.excl.nsg.poss","Ngäma mäda era tamenyang deya","Our father was a teacher.","me","loc,","mäda","father","ngäma","yes","no","kinship"
"ngämo","1.sg.poss","Oke ngämo mäda kuddäll agan ngämo","My father died.I grew up at Mallam.","oke","okay","mäda","father","ngämo","yes","no","kinship"
"ngämo","1.sg.poss,","Oke ngämo mäda kuddäll agan ngämo","My father died.I grew up at Mallam.","","","ngämo","1.sg.poss","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo mäg bo bin a Sana","My mother's name is San.","ngämo","1.sg.poss,","mäg","mother","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo mäg bo bin a Sana","My mother's name is San.","mäg","mother","bin","name","bo","yes","no",NA
"ngämo","1.sg.poss","Ngäna ngämo grade one two Lek Märi me danges","I did my grades one and two in Lake Murray.","ngäna","1.sg.nom","grade","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo grade three ngäna Kibul mi skul gog","I schooled my grade three in Kibuli.","danges","make.rem.1|2sgA>sgP,","grade","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo tamenyang a tumang dag","I had alot of teachers.","gog","aux.rem.1|2sgS,","tamenyang","teacher","ngämo","yes","no",NA
"ngäma","1.excl.nsg.poss","Ngäma eka da daden be ngämo kame dan","We have our local language but I'm unable to speak it.","dag","cop.prs.plS,","eka","speak","ngäma","yes","no",NA
"ngämo","1.sg.poss","Oke ngämo bin a komlla dageyo","I have two roles.","","","bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ada ngämo ttongo bin a Grace bo peyang dan","One of my role is a Council improvement secretary assisting Grace.","ada","like this","ttongo","a","ngämo","yes","no",NA
"ngäma","1.excl.nsg.poss","Ada ngäma mällaeyaba ngäna sekriteri bin di mällaem eran","I'm also our women's representative as a secretary.","ada","like this","mällaeyaba","woman=3.nsg.poss","ngäma","yes","no","kinship"
"mällaeyaba","woman=3.nsg.poss","Ada ngäma mällaeyaba ngäna sekriteri bin di mällaem eran","I'm also our women's representative as a secretary.","ngäma","1.excl.nsg.poss","","","aba","yes","no",NA
"ngämo","1.sg.poss","Ngäna ada ngämo first eka da Ende eka","Ende is my first language.","ada","like this","first","","ngämo","yes","no",NA
"ngämo","1.sg.poss","ngämo llɨg kälakälae eka bäntamenyneg ai dan pällämpälläm eka bog o Ende eka walle",NA,"eka","speak,","llɨg","boy","ngämo","yes","no","kinship"
"ngäma","1.excl.nsg.poss","Ngäma eka da daden a be ngämo kame dan","We have our local language called Zimakami. Zimakami people speak it,but I'm unable to speak it.","walle","ins,","eka","speak","ngäma","yes","no",NA
"ngämo","1.sg.poss","Ngämo yae bo bin a Sana","My mother's name is Sana","dan","cop.prs.sgS,","yae","mother","ngämo","yes","no",NA
"bo","3.sg.poss","Ngämo yae bo bin a Sana","My mother's name is Sana","yae","mother","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Obo eka da ada da bogo ai dan Kurunti eka bogon a Malläm Ende eka dan","She is able to speak both Kurunti language and (Mallam) Ende language.","sana","sago,","eka","speak","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo masamasar a ereya Ende eka de yuz dägne a Agob eka de Apang eka","My great great parents were speaking  Ende and Agob languages.","dan","cop.prs.sgS,","masamasar","ancestors","ngämo","yes","no","kinship"
"obo","3.sg.poss","Obo eka da Ende eka dan","He speaks Ende language","bantameny","converse.fut.1sgA>sgP,","eka","speak","obo","yes","no",NA
"ngämo","1.sg.poss","Ngäna ngämo llɨgaba pate ada pällämpälläm eka da wa Ende eka da","I speak Ende language and English to my children.","ngäna","1.sg.nom","llɨgaba","child-3.nsg.poss","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Oke ngämo eka da ngäna ai dan Ende eka walle baingguimenynegne lla de o be da kame ttängämang ngäna mɨnyi pällämpälläm eka walle","Ok  Im saying, I will be able to joke in Ende language to Ende language speaker and in English to a English speaker.","","","eka","speak","ngämo","yes","no",NA
"oba","3.nsg.poss","Ngäna ada ngonomeny allan oba mudan ngämi ttongdae eka de bäpanyeya Ende eka de","I think we all should be speaking one language only, which is the Ende language .","","","mudan","cop.prohib.prs.sgS","oba","yes","no",NA
"ngämo","1.sg.poss","Ngämo mokwang abal eka da English eka dan","I love speaking in English.","de","acc,","mokwang","favorite","ngämo","yes","no",NA
"ngämo","1.sg.poss","Oke ngämo llɨg a aska mɨnyi English eka de mokwang bägageyo","I hope my children will love speaking English.","","","llɨg","boy","ngämo","yes","no","kinship"
"iba","1.incl.nsg.poss","O be da ge da iba eka de nä- pänae bogon ede ubi mɨnyi mokwang bägageyo iba eka de ade Ende eka","Therefore if Ende language is translated they will love speaking it.","da","nom","eka","speak","iba","yes","no",NA
"iba","1.incl.nsg.poss","O be da ge da iba eka de nä- pänae bogon ede ubi mɨnyi mokwang bägageyo iba eka de ade Ende eka","Therefore if Ende language is translated they will love speaking it.","bägageyo","aux.fut.3nsgA>3sgP","eka","speak","iba","yes","no",NA
"ngämo","1.sg.poss","Ngämo bin a Wagiba waenen",NA,"eka","speak,","bin","name","ngämo","yes","no",NA
"bo","3.sg.poss","Ada Warama bo mälla","Others call me Warama's wife.","warama","male personal name","mälla","woman,","bo","yes","no","kinship"
"bo","3.sg.poss","Ada Winson bo mäg","Or like Winson's mother.","winson","male personal name","mäg","mother,","bo","yes","no","kinship"
"ngämo","1.sg.poss","A ngämo nadum a daden","I do have a namesake.","a","nom","nadum","namesake","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ttongo ngämo nadum ada ingoll ttaem nallan ada Nadum","My namesake also calls me as \""namesake\"".","ttongo","a","nadum","namesake","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo nadum a Skalia wainen","My namesake is Skalia.","nadum",",","nadum","namesake","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Bogo moko gogon ngämo bin i","She liked my name.","gogon","aux.rem.3sgS","bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo bin a obo bin i bogalle","She wanted to be named after me.","i","all,","bin","name","ngämo","yes","no",NA
"obo","3.sg.poss","Ngämo bin a obo bin i bogalle","She wanted to be named after me.","a","nom","bin","name","obo","yes","no",NA
"mägda","mother=cl.poss.kin","Ngänäm ttongo täräp me a mägda bom ttongo täräp me ada eka dägagän","At one time she told me and her mother","a","nom","bom","3.sg.acc","da","no",NA,NA
"ngämo","1.sg.poss","Mami ngämo moko da ada ngämo bin a Wagiba wa bogon","Mummy, I want my name to be Wagiba.","ada","like this","bin","name","ngämo","yes","no",NA
"obo","3.sg.poss","Obo bin a Wagiba wainen","Her name is Wagiba.","moko","desire,","bin","name","obo","yes","no",NA
"ngämo","1.sg.poss","Ako ngämo ttongo bin a bogo ainen Songno","My other name is Songono.","ako","again","ttongo","a","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ede adawatta ngämo obo bin di ngämlle danttogän","So because of that, she gave me her name.","","","","","ngämo","yes","no",NA
"obo","3.sg.poss","Ede adawatta ngämo obo bin di ngämlle danttogän","So because of that, she gave me her name.","","","bin","name","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo kak a ngämo meyang","My grandmother and my step father","danttogän","give.rem.3sgA>sgR,","kak","grandmother","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo kak a ngämo meyang","My grandmother and my step father","a","nom","meyang","uncle,","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo meyang a ngämo baba bo mänyan dan be ngämo baba dan","My step father, who is my father's younger brother is my current father.","meyang","uncle,","meyang","uncle","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo meyang a ngämo baba bo mänyan dan be ngämo baba dan","My step father, who is my father's younger brother is my current father.","a","nom","baba","father","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo meyang a ngämo baba bo mänyan dan be ngämo baba dan","My step father, who is my father's younger brother is my current father.","baba","father","mänyan","younger sibling","bo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo meyang a ngämo baba bo mänyan dan be ngämo baba dan","My step father, who is my father's younger brother is my current father.","be","but","baba","father","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo ako ngämo mändmändag lla dadegeyo komllaebmae","I also have two more adoptive parents.","dan","cop.prs.sgS,","ako","again","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo ako ngämo mändmändag lla dadegeyo komllaebmae","I also have two more adoptive parents.","ako","again","mändmändag","raise-agt","ngämo","yes","no",NA
"iba","1.incl.nsg.poss","Skul ma ik mi era Ingglis eka walle a upe me era iba eka Ende eka walle","In the school area in English but outside the school grounds in Ende.","","","eka","speak","iba","yes","no",NA
"ngämo","1.sg.poss","Ngämi komlla daebegeyo ngämo llɨg a mosen a lla llɨg a obo ma me ngämi lla me giddollnen eran","It is only the two of us, we live together in my elders son's house.","","","llɨg","boy","ngämo","yes","no","kinship"
"obo","3.sg.poss","Ngämi komlla daebegeyo ngämo llɨg a mosen a lla llɨg a obo ma me ngämi lla me giddollnen eran","It is only the two of us, we live together in my elders son's house.","a","nom","ma","house","obo","yes","no",NA
"da","cl.poss.kin","Ubi ada Tonny a mälla da bo bin a Wendy","They are Tony and his wife by the name, Wendy.","mälla","woman","bo","3.sg.poss","da","no",NA,"kinship"
"bo","3.sg.poss","Ubi ada Tonny a mälla da bo bin a Wendy","They are Tony and his wife by the name, Wendy.","da","cl.poss.kin","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Llɨg kälsre a obo Nicky lla llɨg dan Nikol män dan a Niel lla llɨg dan","Their baby boy is Nicky. Nikol is a girl and Noel is a boy.","a","nom","nicky","male personal name","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo mabun a bikme ada any a ttall a","My totem is palm and wallaby.","dan","cop.prs.sgS,","mabun","clan","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo baba bo bin a Geser","My father's name is Geser.","a","nom,","baba","father","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo baba bo bin a Geser","My father's name is Geser.","baba","father","bin","name","bo","yes","no",NA
"ngämo","1.sg.poss","Ngämo baba lla ulle deya","My father was big build.","geser","male personal name,","baba","father","ngämo","yes","no","kinship"
"obo","3.sg.poss","Pätt a obo ulle ulle pättang deya","His body was so huge.","a","nom","ulle","big","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo mäg bo bin a Bäloga","My mother's name is Bollga.","deya","cop.pst.sgS,","mäg","mother","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo mäg bo bin a Bäloga","My mother's name is Bollga.","mäg","mother","bin","name","bo","yes","no",NA
"obo","3.sg.poss","Obo eka da Teme","Tame is her language.","bäloga",",","eka","speak","obo","yes","no",NA
"obo","3.sg.poss","Obo mabun a dirom","Her totem is cassowary.","teme","language name,","mabun","clan","obo","yes","no",NA
"ngämo","1.sg.poss","Ngämo mäg mälla ulle deya","My mother was not a big build woman.","dirom","cassowary,","mäg","mother","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo masar a Teme ngämo mäg bo baba obo ttäle da gänyme tärpänatt deya","My ancestors are from Tame. My mothers' father's leg was chopped.","","","masar","grandfather","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo masar a Teme ngämo mäg bo baba obo ttäle da gänyme tärpänatt deya","My ancestors are from Tame. My mothers' father's leg was chopped.","","","mäg","mother","ngämo","yes","no","kinship"
"bo","3.sg.poss","Ngämo masar a Teme ngämo mäg bo baba obo ttäle da gänyme tärpänatt deya","My ancestors are from Tame. My mothers' father's leg was chopped.","mäg","mother","baba","father","bo","yes","no","kinship"
"obo","3.sg.poss","Ngämo masar a Teme ngämo mäg bo baba obo ttäle da gänyme tärpänatt deya","My ancestors are from Tame. My mothers' father's leg was chopped.","baba","father","ttäle","leg","obo","yes","no","part_whole"
"ngämo","1.sg.poss","Ngaska ute da dägagän ngämo däbe kame dan be gänyme tärpänatt deya","I think ulcer sore affected it, I don't know, but it cut his leg over here.","","","däbe","that.nom","ngämo","yes","no",NA
"obo","3.sg.poss","Obo bin a bogo aeneya Birigi","His name is Birigi.","deya","cop.pst.sgS,","bin","name","obo","yes","no",NA
"ngämo","1.sg.poss","Ede ngämo masar era Teme eka walle ekawang deya adawatta bogo era Teme lla deya Kondoboll me Teme traeb att dan","So my grandfather was a Tame language speaking man because he belongs to the Tame tribe from Kondobol.","ede","so","masar","grandfather","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo kak ereya ako bogo ngämo yae bo mäg ngämo kak ako bogo Teme traeb att deya","My grandmother too who was my mother's mother was from Tame tribe.","dan","cop.prs.sgS,","kak","grandmother","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo kak ereya ako bogo ngämo yae bo mäg ngämo kak ako bogo Teme traeb att deya","My grandmother too who was my mother's mother was from Tame tribe.","","","yae","mother","ngämo","yes","no",NA
"bo","3.sg.poss","Ngämo kak ereya ako bogo ngämo yae bo mäg ngämo kak ako bogo Teme traeb att deya","My grandmother too who was my mother's mother was from Tame tribe.","yae","mother","mäg","mother","bo","yes","no","kinship"
"ngämo","1.sg.poss","Ngämo kak ereya ako bogo ngämo yae bo mäg ngämo kak ako bogo Teme traeb att deya","My grandmother too who was my mother's mother was from Tame tribe.","","","kak","grandmother","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Be ngämo baba bo mäg ako bogo Teme traeb att deya","My father's mother was from the Tame tribe.","be","but","baba","father","ngämo","yes","no","kinship"
"bo","3.sg.poss","Be ngämo baba bo mäg ako bogo Teme traeb att deya","My father's mother was from the Tame tribe.","baba","father","mäg","mother","bo","yes","no","kinship"
